treat;selection;outcome
0;1;1.832581464
1;1;1.871802177
1;1;2.668829488
0;0;0
0;1;0.797507196
0;1;2.708050201
0;1;1.945910149
1;1;1.832581464
1;1;2.302585093
0;1;2.079441542
0;1;1.91839212
1;0;0
0;0;0
1;1;2.197224577
1;0;0
1;1;2.079441542
1;0;0
1;1;1.879728242
0;1;1.791759469
0;0;0
1;1;1.931521412
1;1;1.791759469
0;1;2.079441542
1;1;2.377692565
0;1;1.832581464
0;0;0
1;0;0
1;1;1.740466175
0;1;1.832581464
1;1;2.251291799
1;1;1.986475598
0;1;1.871802177
1;1;2.302585093
1;1;1.974081026
0;1;1.945910149
1;1;1.645603886
0;1;2.014903021
0;1;2.48490665
0;0;0
1;1;2.197224577
0;1;1.648658626
1;0;0
1;1;1.848454813
1;0;0
1;0;0
0;0;0
0;1;2.232698966
1;1;2.008214032
0;0;0
1;0;0
1;1;1.945910149
0;1;1.857859271
1;1;2.014903021
0;1;2.442347035
0;0;0
0;1;1.945910149
0;0;0
1;1;2.302585093
0;1;0.916290732
0;0;0
0;0;0
1;0;0
0;1;1.704748092
1;1;1.986732144
1;1;1.78339122
1;1;2.140066163
1;1;1.740466175
0;1;2.014903021
1;1;1.871802177
0;1;2.014903021
0;1;2.197224577
1;0;0
0;0;0
1;0;0
1;0;0
1;0;0
0;1;1.791759469
1;1;2.509649654
1;1;1.648658626
0;1;1.945910149
0;0;0
1;0;0
1;0;0
0;1;2.48490665
0;1;2.1690537
1;0;0
0;0;0
1;1;2.302585093
0;1;2.23453163
0;1;2.197224577
0;0;0
1;0;0
0;0;0
1;0;0
1;1;2.079441542
0;1;1.870262531
1;1;1.940405144
0;1;1.600469242
1;0;0
0;1;1.945910149
1;1;1.734091682
1;0;0
1;1;1.816452082
0;1;1.750877181
1;0;0
1;1;1.871802177
1;0;0
0;0;0
1;1;1.945910149
0;0;0
0;0;0
0;0;0
1;1;2.127381004
1;0;0
1;1;2.610069793
0;1;2.112634509
0;0;0
1;0;0
1;1;1.558954007
0;1;1.791759469
0;1;2.00148
0;1;2.140066163
1;1;2.079441542
1;0;0
0;1;1.871802177
1;1;2.120263536
1;1;1.704748092
1;0;0
1;1;2.31944221
1;0;0
1;1;1.871802177
1;0;0
0;1;2.047692843
1;0;0
1;1;2.00533357
1;1;2.1102132
0;0;0
1;1;1.868949108
0;1;2.397895273
1;1;1.909542505
0;0;0
1;0;0
1;0;0
1;0;0
1;0;0
0;1;2.194733267
0;0;0
0;1;2.008214032
1;1;2.708050201
1;0;0
0;1;1.945910149
1;1;1.550239095
0;1;2.525728644
0;0;0
0;0;0
1;1;2.531313023
0;1;2.327277706
0;1;1.248978333
0;0;0
1;0;0
1;0;0
1;1;1.981001469
1;1;1.686398954
1;1;2.045108863
0;1;0.867100488
1;1;2.069391206
1;1;2.00148
1;1;2.104134154
1;1;2.594721516
0;0;0
1;0;0
0;0;0
1;1;2.060513532
1;0;0
1;1;2.276241118
1;1;2.614471854
0;1;1.749199855
0;0;0
1;1;1.713797928
1;0;0
1;0;0
1;0;0
1;1;2.010894999
1;1;1.638996715
1;1;1.791759469
0;0;0
0;1;1.871802177
1;1;1.947471785
1;0;0
1;1;1.791759469
0;1;1.871802177
1;1;2.564949357
0;0;0
1;0;0
1;0;0
1;1;1.791759469
1;1;2.302585093
1;1;1.700543461
1;1;2.397895273
1;0;0
0;0;0
0;1;2.708050201
0;1;1.735189118
1;0;0
1;0;0
0;1;2.079441542
1;1;2.083895892
1;1;2.028148247
1;1;1.945910149
0;1;2.014903021
1;0;0
1;0;0
